0;0;1;0;3;3;;0.0;1
0;0;1;0;3;3;;0.0;1
0;1;1;0;1;3;;75.0;1
0;1;2;0;1;1;304.0;75.0;1
0;2;3;0;1;1;240.0;98.0;1
0;2;3;0;1;1;240.0;98.0;1
0;2;1;0;3;3;;107.0;1
0;2;1;0;3;3;303.0;103.0;1
1;3;3;0;1;1;240.0;82.0;2
1;3;3;0;4;4;15.0;105.5;2
1;4;3;0;5;5;240.0;123.0;2
0;4;3;0;4;4;240.0;145.0;1
0;4;3;0;4;5;240.0;97.0;1
0;4;3;0;7;7;241.0;154.77;1
0;4;3;0;5;5;241.0;94.71;1
0;4;3;0;4;5;240.0;97.0;1
0;4;3;0;5;5;8.0;97.5;1
0;1;3;0;1;5;240.0;88.2;1
0;1;2;0;1;7;;107.42;1
0;4;1;0;7;7;250.0;153.0;1
0;5;3;0;6;6;241.0;97.29;1
0;6;1;0;1;1;250.0;84.67;1
0;6;1;0;1;1;250.0;84.67;1
0;6;1;0;4;4;250.0;99.67;1
0;7;3;0;4;9;115.0;94.95;1
0;7;3;0;4;4;5.0;63.6;1
0;7;3;0;4;4;8.0;79.5;1
1;7;3;0;5;5;240.0;107.0;2
0;7;3;0;1;1;240.0;94.0;1
0;7;3;0;4;4;240.0;87.3;1
0;14;1;0;1;1;;62.0;1
0;15;3;0;4;4;241.0;63.86;1
1;10;1;0;5;5;;108.3;2
0;6;3;0;1;3;175.0;65.5;1
1;4;3;0;4;4;241.0;108.8;2
1;4;3;0;4;4;241.0;108.8;2
0;4;3;0;1;3;240.0;98.0;1
0;4;3;0;4;4;241.0;108.8;1
1;4;3;0;4;4;241.0;108.8;2
0;5;1;0;5;5;250.0;137.0;1
1;5;3;0;7;7;241.0;117.81;2
0;5;3;0;4;4;8.0;79.5;1
0;5;1;0;6;6;;123.0;1
0;5;1;0;5;5;250.0;137.0;1
0;7;3;0;1;1;240.0;110.7;1
1;7;3;0;7;7;240.0;153.0;2
0;7;3;0;1;1;134.0;58.95;1
0;7;3;0;5;5;156.0;82.88;1
0;7;3;0;1;2;243.0;82.35;1
0;7;3;0;5;6;241.0;119.35;1
0;7;3;0;4;4;156.0;67.58;1
0;11;3;0;1;1;156.0;56.01;1
0;14;3;0;4;4;243.0;110.7;1
